4P_Order,Order_date,Shipping_date,Shipping_revenues,Shipping_cost,Carrier Class,TRK,weight,zip,order_total,Ins
44001,2019-08-01,2019-08-02,3.9,0,UPS/UPS Expedited Mail Innovations,92749000000000000000000000,0.44,45403,30,29
44002,2019-08-01,2019-08-02,3.9,0,UPS/UPS Expedited Mail Innovations,92749000000000000000000000,1,11374,122.9,119
44003,2019-08-01,2019-08-02,11.71,11.59,UPS/UPS Ground,1Z1A1V710395084906,2,45458,102.71,91
44004,2019-08-01,2019-08-02,16.69,11.59,UPS/UPS Ground,1Z1A1V710398832682,0.31,95304,37.69,21
44005,2019-08-01,2019-08-02,16.37,11.37,UPS/UPS SurePost 1 lb or Greater,1Z1A1V71YW97825676,5.88,98155,294.37,278
44006,2019-08-01,2019-08-02,13.44,9.33,UPS/UPS SurePost 1 lb or Greater,1Z1A1V71YW93423090,3.63,55116,281.64,298
44007,2019-08-01,2019-08-02,3.9,0,UPS/UPS Expedited Mail Innovations,92749000000000000000000000,0.63,92104,51.9,48
44008,2019-08-01,2019-08-02,3.9,0,UPS/UPS Expedited Mail Innovations,92749000000000000000000000,0.5,78801,59.9,56
44009,2019-08-01,2019-08-02,21.83,15.16,UPS/UPS 3 Day Select,1Z1A1V711294200685,5.88,46774,420.83,399
44010,2019-08-01,2019-08-02,16.69,11.59,UPS/UPS Ground,1Z1A1V710392645476,0.94,90069,97.69,81
44011,2019-08-01,2019-08-02,3.9,0,UPS/UPS Expedited Mail Innovations,92749000000000000000000000,0,90020,25.9,22
44012,2019-08-01,2019-08-02,3.9,0,UPS/UPS Expedited Mail Innovations,92749000000000000000000000,0.63,78212,46.4,50
44014,2019-08-01,2019-08-02,22.48,15.61,UPS/UPS 3 Day Select,1Z1A1V711291320659,3.31,12302,290.48,268
44015,2019-08-01,2019-08-02,22.31,15.49,UPS/UPS Ground,1Z1A1V710396141628,1.13,43160,137.31,115
44016,2019-08-01,2019-08-02,10.97,7.62,UPS/UPS SurePost 1 lb or Greater,1Z1A1V71YW93704607,1.38,28214,213.97,203
44017,2019-08-01,2019-08-02,3.9,0,UPS/UPS Expedited Mail Innovations,92749000000000000000000000,0.06,97124,25.9,22
44018,2019-08-01,2019-08-02,22.71,15.77,UPS/UPS 2nd Day Air,1Z1A1V710299395995,0.75,7024,141.71,119
44019,2019-08-01,2019-08-02,11.71,8.13,UPS/UPS SurePost 1 lb or Greater,1Z1A1V71YW95742572,1.06,44102,50.71,39
44020,2019-08-01,2019-08-02,11.97,8.31,UPS/UPS SurePost 1 lb or Greater,1Z1A1V71YW97220962,4.88,28203,197.97,186
44021,2019-08-01,2019-08-02,11.94,8.29,UPS/UPS SurePost 1 lb or Greater,1Z1A1V71YW97244535,1.06,18018,50.94,39
44022,2019-08-01,2019-08-02,3.9,0,UPS/UPS Expedited Mail Innovations,92749000000000000000000000,0.19,33607,36.9,33
44023,2019-08-01,2019-08-02,26.97,18.73,UPS/UPS 2nd Day Air,1Z1A1V710293622946,4,6810,258.97,232
44024,2019-08-01,2019-08-02,15.67,10.88,UPS/UPS 2nd Day Air,1Z1A1V710291493278,1,10027,83.67,68
44025,2019-08-01,2019-08-02,3.9,0,UPS/UPS Expedited Mail Innovations,92749000000000000000000000,0,64111,32.9,29
44026,2019-08-01,2019-08-02,3.9,0,UPS/UPS Expedited Mail Innovations,92749000000000000000000000,0.5,49408,44.4,45
44027,2019-08-01,2019-08-02,16.69,11.59,UPS/UPS Ground,1Z1A1V710393216633,0.44,97527,65.69,49
44028,2019-08-01,2019-08-02,13.09,9.09,UPS/UPS SurePost 1 lb or Greater,1Z1A1V71YW96384958,1.06,90047,52.09,39
44029,2019-08-01,2019-08-02,11.71,8.13,UPS/UPS SurePost 1 lb or Greater,1Z1A1V71YW95269852,1.31,62035,159.71,148
44030,2019-08-01,2019-08-02,3.9,0,UPS/UPS Expedited Mail Innovations,92749000000000000000000000,0.5,80216,53.9,50
